Reference,Value
C204,0.22uF
C211,22pF
C212,22pF
C213,22pF
CX1,0.01uF
CX2,0.01uF
J201,25/28
J202,25/FPU
R100,1K
R101,1K
R102,1K
R103,1K
R104,1K
R105,1K
R106,1K
R131,1K
R203,68
R204,68
R207,68
R209,68
R210,68
R211,68
R212,47
R213,47
R216,47
R217,1K
R218,1K
R219,1K
R220,1K
R221,1K
R222,1K
R223,1K
R224,1K
R225,1K
R226,1K
R227,1K
R228,3.3K
R229,3.3K
R230,3.3K
R231,3.3K
R232,3.3K
R233,3.3K
R234,3.3K
R235,3.3K
R236,3.3K
R237,3.3K
RN104,1K
RN105,1K
RN106,1K
RN107,1K
RN108,1K
RN109,1K
RN110,1K
U200,MC68030
U201,MC68882
U204,74AHCT04
X1,25MHz
X2,25MHz
C200,0.1uF
C201,0.1uF
C202,0.1uF
C205,330pF
C206,0.1uF
C208,0.1uF
C209,0.22uF
C214,0.1uF
C215,0.1uF
C216,0.1uF
C218,0.1uF
C219,0.1uF
C220,0.1uF
C300,0.22uF
C418,0.22uF
C419,0.22uF
C420,0.22uF
C421,0.22uF
C606,0.22uF
C800,10uF
C801,10uF
C802,10uF
C803,47uF
C804,10uF
C805,10uF
C900,0.22uF
C901,0.22uF
C902,0.22uF
CN5,ATA/IDE
CN6,LED
R405,1K
R406,1K
R500,1K
R501,1K
R502,1K
R600,2.7K
U300,74HCT05
U418,74LVC245
U419,74LVC245
U420,74LVC245
U421,74LVC245
U606,74HCT244
U800,LM1117-3.3
U900,74HCT245
U901,74HCT245
U902,74HCT125
C102,0.22uF
C103,0.22uF
C406,0.33uF
C407,0.33uF
C408,0.33uF
C409,0.33uF
C410,0.33uF
C411,0.33uF
C412,0.33uF
C413,0.33uF
C422,0.33uF
C423,0.33uF
C424,0.33uF
C425,0.33uF
C426,0.33uF
J400,Jumper_NO_Small
J401,Jumper_NO_Small
J402,Jumper_NO_Small
J403,Jumper_NO_Small
J404,Jumper_NO_Small
R400,1K
R401,1K
R402,1K
R403,1K
R404,1K
U102,27C256
U103,27C256
U406,SDRAM(16Mx16)
U407,SDRAM(16Mx16)
U408,SDRAM(16Mx16)
U409,SDRAM(16Mx16)
C700,0.22uF
C701,0.22uF
C702,0.22uF
C703,0.22uF
C704,0.22uF
C705,0.22uF
C706,0.22uF
C707,0.22uF
C712,10uF
C713,47uF
C714,10uF
C718,10uF
C719,10uF
J302,Jumper_NO_Small
J303,Jumper_NO_Small
J304,Jumper_NO_Small
J305,Z3 DISABLE
R303,1K
R304,1K
R305,1K
R306,1K
R706,1K
U700,74HCT174
U701,74FCT646
U702,74FCT646
U703,74HCT245
U704,74HCT245
U705,74HCT245
U706,74HCT245
U707,74HCT245
C427,0.33uF
C428,0.33uF
C429,0.33uF
C430,0.33uF
C431,0.33uF
C432,0.33uF
U400,SDRAM(2Mx16)
U401,SDRAM(2Mx16)
C600,0.1uF
C601,0.1uF
C602,0.1uF
C603,0.1uF
C604,0.1uF
C605,0.1uF
C607,0.1uF
C608,0.1uF
C609,0.1uF
C610,0.1uF
CN600,CPLD0
CN601,CPLD1
CN602,CPLD2
J600,IDE DISABLE
R601,1K
R704,47
U600,XC9572XL-VQ64
U601,XC95144XL-TQ144
U602,XC95144XL-TQ144
