68030 Address Line,Locations,Bits,Bytes,KB,MB,Notes
0,x,,,,,Part of the port sizing
1,x,,,,,Part of the port sizing
2,2,64,8,0.0078125,7.62939453125E-06,
3,4,128,16,0.015625,1.52587890625E-05,
4,8,256,32,0.03125,3.0517578125E-05,
5,16,512,64,0.0625,6.103515625E-05,
6,32,1024,128,0.125,0.0001220703125,
7,64,2048,256,0.25,0.000244140625,
8,128,4096,512,0.5,0.00048828125,
9,256,8192,1024,1,0.0009765625,
10,512,16384,2048,2,0.001953125,
11,1024,32768,4096,4,0.00390625,
12,2048,65536,8192,8,0.0078125,
13,4096,131072,16384,16,0.015625,
14,8192,262144,32768,32,0.03125,
15,16384,524288,65536,64,0.0625,
16,32768,1048576,131072,128,0.125,
17,65536,2097152,262144,256,0.25,
18,131072,4194304,524288,512,0.5,
19,262144,8388608,1048576,1024,1,
20,524288,16777216,2097152,2048,2,
21,1048576,33554432,4194304,4096,4,
22,2097152,67108864,8388608,8192,8,
23,4194304,134217728,16777216,16384,16,
24,8388608,268435456,33554432,32768,32,AUTOCONFIG Base Address
25,16777216,536870912,67108864,65536,64,AUTOCONFIG Base Address
26,33554432,1073741824,134217728,131072,128,AUTOCONFIG Base Address
27,67108864,2147483648,268435456,262144,256,AUTOCONFIG Base Address
28,134217728,4294967296,536870912,524288,512,AUTOCONFIG Base Address
29,268435456,8589934592,1073741824,1048576,1024,AUTOCONFIG Base Address
30,x,,,,,AUTOCONFIG Base Address
31,x,,,,,AUTOCONFIG Base Address
