68030 Address Line,Address Lines,Addresses,Storage Cap (Bits),Storage Cap (Bytes),Storage Cap (KB),Storage Cap (MB),Notes
0,,x,,,,,Part of the port sizing
1,,x,,,,,Part of the port sizing
2,1,2,64,8,0.0078125,7.62939E-06,
3,2,4,128,16,0.015625,1.52588E-05,
4,3,8,256,32,0.03125,3.05176E-05,
5,4,16,512,64,0.0625,6.10352E-05,
6,5,32,1024,128,0.125,0.00012207,
7,6,64,2048,256,0.25,0.000244141,
8,7,128,4096,512,0.5,0.000488281,
9,8,256,8192,1024,1,0.000976563,
10,9,512,16384,2048,2,0.001953125,
11,10,1024,32768,4096,4,0.00390625,
12,11,2048,65536,8192,8,0.0078125,
13,12,4096,131072,16384,16,0.015625,
14,13,8192,262144,32768,32,0.03125,
15,14,16384,524288,65536,64,0.0625,
16,15,32768,1048576,131072,128,0.125,
17,16,65536,2097152,262144,256,0.25,
18,17,131072,4194304,524288,512,0.5,
19,18,262144,8388608,1048576,1024,1,
20,19,524288,16777216,2097152,2048,2,
21,20,1048576,33554432,4194304,4096,4,
22,21,2097152,67108864,8388608,8192,8,
23,22,4194304,134217728,16777216,16384,16,
24,23,8388608,268435456,33554432,32768,32,AUTOCONFIG Base Address
25,24,16777216,536870912,67108864,65536,64,AUTOCONFIG Base Address
26,25,33554432,1073741824,134217728,131072,128,AUTOCONFIG Base Address
27,26,67108864,2147483648,268435456,262144,256,AUTOCONFIG Base Address
28,27,134217728,4294967296,536870912,524288,512,AUTOCONFIG Base Address
29,28,268435456,8589934592,1073741824,1048576,1024,AUTOCONFIG Base Address
30,29,x,x,x,x,x,AUTOCONFIG Base Address
31,30,x,x,x,x,x,AUTOCONFIG Base Address
